order_id,order_date,category,is_size_sensitive,price,discount_pct,customer_id,customer_past_orders,customer_past_return_rate,payment_method,region,delivery_days,days_to_purchase,returned
4193,2023-01-01 00:00:00+00:00,Apparel,1,379.02,0.0,2586,2,0.29131805481669143,COD,West,2,1,0
437,2023-01-01 00:00:00+00:00,Apparel,1,1328.8,0.0,3069,2,0.2507326583778519,Prepaid,North,9,1,0
3603,2023-01-01 00:00:00+00:00,Apparel,1,438.22,0.0,3489,2,0.3077334923362876,COD,West,1,0,0
3611,2023-01-01 00:00:00+00:00,Electronics,0,6354.75,0.0,2690,2,0.0379792722073781,COD,North,9,4,0
3283,2023-01-01 00:00:00+00:00,Apparel,1,240.42,0.0,3568,2,0.4011616625411723,Prepaid,East,3,5,0
661,2023-01-01 00:00:00+00:00,Apparel,1,4176.86,0.0,2764,3,0.24173945240462028,COD,West,10,2,0
1211,2023-01-01 00:00:00+00:00,Apparel,1,6223.68,0.0,2814,2,0.0478077563019036,COD,East,1,3,0
3220,2023-01-01 00:00:00+00:00,Apparel,1,4211.23,0.40233948414425635,1785,2,0.004135684332943178,COD,North,8,6,0
1714,2023-01-01 00:00:00+00:00,Beauty,0,1200.11,0.2796567601100747,2391,3,0.16546391089066909,Prepaid,West,1,2,0
736,2023-01-01 00:00:00+00:00,Apparel,1,197.33,0.1596567213052778,2431,5,0.2828516274145413,COD,West,6,0,0
1002,2023-01-01 00:00:00+00:00,Apparel,1,4198.55,0.0,1731,1,0.5902603070880351,Prepaid,East,1,1,0
1196,2023-01-01 00:00:00+00:00,Apparel,1,1575.48,0.1343426549013544,1026,3,0.06719194131433154,COD,East,13,1,1
475,2023-01-01 00:00:00+00:00,Apparel,1,2055.29,0.0,3043,2,0.155600752470387,Prepaid,West,2,1,0
826,2023-01-01 00:00:00+00:00,Electronics,0,745.64,0.09359439329915524,3115,3,0.2058421849097504,COD,East,9,2,0
849,2023-01-01 00:00:00+00:00,Apparel,1,1145.36,0.0,1401,1,0.05899882916217096,Prepaid,East,5,0,0
123,2023-01-01 00:00:00+00:00,Footwear,1,805.08,0.226804681208533,1945,2,0.5174375025107555,Prepaid,South,2,1,0
632,2023-01-01 00:00:00+00:00,Apparel,1,1057.3,0.22749179862099542,2997,2,0.3489595554298772,Prepaid,South,4,1,0
4051,2023-01-01 00:00:00+00:00,Apparel,1,1152.86,0.0,4149,0,0.0,COD,East,12,3,0
1960,2023-01-01 00:00:00+00:00,Apparel,1,1292.59,0.20216032788468488,3602,3,0.03918174976554774,COD,East,10,2,0
1134,2023-01-01 00:00:00+00:00,Footwear,1,1635.3,0.04852174504044942,1430,2,0.07995045772972026,Prepaid,North,4,1,0
955,2023-01-01 00:00:00+00:00,Electronics,0,679.76,0.0,3028,1,0.24647638222172416,Prepaid,West,13,2,0
1991,2023-01-01 00:00:00+00:00,Apparel,1,991.71,0.0445228467557413,1141,3,0.3033561902953863,Prepaid,East,14,4,1
3077,2023-01-01 00:00:00+00:00,Electronics,0,549.97,0.0,1992,5,0.12348017356236511,Prepaid,South,8,4,1
4813,2023-01-01 00:00:00+00:00,Apparel,1,1878.86,0.0,1090,1,0.11269468892629522,Prepaid,South,2,0,0
1142,2023-01-01 00:00:00+00:00,Electronics,0,1766.82,0.11619020447927811,2514,2,0.5303555485690183,Prepaid,North,6,2,0
1965,2023-01-01 00:00:00+00:00,Beauty,0,900.17,0.18989119890880618,4206,4,0.3174032833780361,Prepaid,East,1,1,0
