order_id,order_date,category,is_size_sensitive,price,discount_pct,customer_id,customer_past_orders,customer_past_return_rate,payment_method,region,delivery_days,days_to_purchase,returned
483,2023-01-01,Electronics,0,318.96,0.25194492575542704,1948,4,0.021177725932183335,Prepaid,East,7,1,0
422,2023-01-01,Apparel,1,818.78,0.2388900374018983,1668,1,0.5029169590302484,Prepaid,West,11,2,0
362,2023-01-01,Beauty,0,664.71,0.0,4103,3,0.1617543472819747,COD,East,8,2,0
4147,2023-01-01,Beauty,0,2534.6,0.21796837611866443,2723,0,0.0,Prepaid,West,13,1,0
3431,2023-01-01,Footwear,1,420.3,0.41328514676806427,2598,2,0.0002981219910418701,Prepaid,South,12,0,0
915,2023-01-01,Beauty,0,6796.87,0.0,3084,4,0.39050149883525576,Prepaid,West,12,1,0
2612,2023-01-01,Apparel,1,960.32,0.1306545829895455,3885,1,0.28077829465175613,Prepaid,North,7,3,0
4643,2023-01-01,Electronics,0,2855.52,0.4277398395352482,2413,2,0.08562025456386853,Prepaid,South,8,0,0
2613,2023-01-01,Footwear,1,777.57,0.0,1466,3,0.20065522436100378,Prepaid,South,9,1,0
460,2023-01-01,Footwear,1,682.3,0.3587483762742687,2663,2,0.04963399842863187,Prepaid,West,13,2,0
2273,2023-01-01,Beauty,0,910.28,0.3651887448679998,2920,4,0.1659993529872677,COD,South,11,0,0
2688,2023-01-01,Home,0,3356.76,0.6608028027972646,3817,6,0.13464627645373406,Prepaid,South,1,1,0
1012,2023-01-01,Beauty,0,443.12,0.0,3567,3,0.08305740003899963,Prepaid,East,9,0,0
2468,2023-01-01,Apparel,1,1598.28,0.010107605049420515,3166,2,0.0501455412463123,Prepaid,West,3,2,0
4870,2023-01-01,Footwear,1,1174.4,0.438359601491798,3011,3,0.32835418076322304,Prepaid,South,3,0,0
853,2023-01-01,Footwear,1,304.33,0.6187802784653647,3083,2,0.058624723787822484,COD,South,5,6,0
4790,2023-01-01,Apparel,1,5516.22,0.0068529597955823696,2505,2,0.016236425608591027,Prepaid,East,8,0,0
926,2023-01-01,Footwear,1,1353.48,0.0,1024,1,0.14672161221832644,COD,West,8,0,0
3144,2023-01-01,Apparel,1,556.12,0.0,3297,2,0.22001865259654038,Prepaid,West,8,4,0
1148,2023-01-01,Apparel,1,2716.34,0.0,3246,1,0.12252068076502108,Prepaid,South,14,0,0
194,2023-01-01,Beauty,0,2708.44,0.0,2680,2,0.18505397025769413,Prepaid,North,7,4,0
4343,2023-01-01,Beauty,0,2701.66,0.0,2769,2,0.23796623968805855,COD,East,14,1,1
1049,2023-01-01,Apparel,1,3582.09,0.0,2444,2,0.23828831140009207,COD,East,13,1,0
106,2023-01-01,Footwear,1,441.12,0.3774275436747224,4173,3,0.28772179966404055,Prepaid,South,5,1,0
524,2023-01-01,Electronics,0,459.77,0.0683637149896501,3690,4,0.14166480367128545,COD,South,7,1,0
1274,2023-01-01,Electronics,0,1036.53,0.0,2969,1,0.2353312788569786,Prepaid,West,7,14,0
2831,2023-01-01,Footwear,1,2290.77,0.2727840202506412,2409,1,0.026422527390540587,COD,West,4,0,0
4546,2023-01-01,Home,0,411.41,0.0,4399,1,0.13117160501143596,COD,North,3,12,1
1482,2023-01-01,Apparel,1,3042.09,0.022283610357684336,2564,2,0.12345512451945613,Prepaid,West,9,0,0
990,2023-01-01,Apparel,1,1985.18,0.0,1873,2,0.2616098527225414,Prepaid,South,14,0,1
2133,2023-01-01,Apparel,1,2860.56,0.08710440382784698,1786,3,0.15307439493710578,Prepaid,North,3,6,0
375,2023-01-02,Apparel,1,692.55,0.0,4271,3,0.008468539251435675,Prepaid,West,14,5,0
2635,2023-01-02,Apparel,1,2754.78,0.0,1251,0,0.0,Prepaid,East,3,2,0
1011,2023-01-02,Beauty,0,2895.8,0.0,1161,0,0.0,Prepaid,East,12,6,0
3515,2023-01-02,Footwear,1,904.99,0.0,1086,2,0.43860395483151726,Prepaid,North,13,7,0
4430,2023-01-02,Electronics,0,1046.36,0.0,2129,1,0.5099527385330209,Prepaid,West,12,0,0
1501,2023-01-02,Apparel,1,1060.71,4.8586161698283004e-05,3368,0,0.0,COD,East,14,2,0
4842,2023-01-02,Apparel,1,4674.38,0.0,2339,3,0.12541953207093018,COD,North,2,0,0
4712,2023-01-02,Apparel,1,3693.8,0.4469759902512398,4030,4,0.09041982745462075,Prepaid,West,7,0,1
2123,2023-01-02,Home,0,448.56,0.1812817102551656,4425,0,0.0,COD,South,5,4,0
3778,2023-01-02,Beauty,0,2020.77,0.0,2532,4,0.2700082116014395,Prepaid,South,7,0,1
399,2023-01-02,Beauty,0,624.68,0.0,2792,1,0.32396743100469644,Prepaid,South,2,0,0
